Chalk	#2b2d2e	#d2d8d9	#7d8b8f,#b23a52,#789b6a,#b9ac4a,#2a7fac,#bd4f5a,#44a799,#d2d8d9,#888888,#f24840,#80c470,#ffeb62,#4196ff,#fc5275,#53cdbd,#d2d8d9
Chalkboard	#29262f	#d9e6f2	#000000,#c37372,#72c373,#c2c372,#7372c3,#c372c2,#72c2c3,#d9d9d9,#323232,#dbaaaa,#aadbaa,#dadbaa,#aaaadb,#dbaada,#aadadb,#ffffff
Challenger Deep	#1e1c31	#cbe1e7	#141228,#ff5458,#62d196,#ffb378,#65b2ff,#906cff,#63f2f1,#a6b3cc,#565575,#ff8080,#95ffa4,#ffe9aa,#91ddff,#c991e1,#aaffe4,#cbe3e7
Chester	#2c3643	#ffffff	#080200,#fa5e5b,#16c98d,#ffc83f,#288ad6,#d34590,#28ddde,#e7e7e7,#6f6b68,#fa5e5b,#16c98d,#feef6d,#278ad6,#d34590,#27dede,#ffffff
Ciapre	#191c27	#aea47a	#181818,#810009,#48513b,#cc8b3f,#576d8c,#724d7c,#5c4f4b,#aea47f,#555555,#ac3835,#a6a75d,#dcdf7c,#3097c6,#d33061,#f3dbb2,#f4f4f4
Citruszest	#121212	#bfbfbf	#404040,#ff5454,#00cc7a,#ffd400,#00bfff,#ff90fe,#48d1cc,#bfbfbf,#808080,#ff1a75,#1affa3,#ffff00,#33cfff,#ffb2fe,#00fff2,#f9f9f9
Claude	#faf9f5	#141413	#c15f3c,#788c5d,#b16803,#6a9bcc,#8b6cb0,#2e8b8b,#b5b3a9,#3d3d3c,#d97757,#8fa86b,#d4952b,#7bafd4,#a080c8,#4eaaaa,#bab9b5,#141413
Claude Dark	#262624	#e5e4e1	#888681,#d47563,#9aca86,#e8c96b,#6a9bcc,#9b87f5,#3cbe8c,#e2e1da,#a6a59b,#f4a9a9,#a8d166,#fab319,#9fc5f4,#f3aac5,#79d7b3,#efeeeb
Claude Light	#faf9f5	#141413	#0a0a0a,#a84b3a,#2e7c4c,#8a6220,#184e95,#882b4d,#066049,#b6b5aa,#51504d,#e34a4a,#639900,#b87700,#3886e5,#d55382,#199f70,#e2e1da
Clear Dark	#212734	#e6e6e6	#35424c,#b45648,#6caa71,#c4ac62,#6d96b4,#bd7bcd,#7ccbcd,#dee5eb,#465c6d,#df6c5a,#79be7e,#e5c872,#67b5ed,#d389e5,#84dde0,#e5eff5
Clear Light	#ffffff	#3a4851	#2d3840,#b45648,#6caa71,#c4ac62,#5685a8,#ad64be,#69c6c9,#b4bbbf,#506573,#df6c5a,#79be7e,#d8bb65,#49a2e1,#d389e5,#5ec7cb,#d8e1e7
CLRS	#ffffff	#262626	#000000,#f8282a,#328a5d,#fa701d,#135cd0,#9f00bd,#33c3c1,#b3b3b3,#555753,#fb0416,#2cc631,#fdd727,#1670ff,#e900b0,#3ad5ce,#eeeeec
Cobalt Neon	#142838	#8ff586	#142631,#ff2320,#3ba5ff,#e9e75c,#8ff586,#781aa0,#8ff586,#ba46b2,#fff688,#d4312e,#8ff586,#e9f06d,#3c7dd2,#8230a7,#6cbc67,#8ff586
Cobalt Next	#1b2b34	#d8dee9	#000000,#ed5f7d,#99c794,#fac863,#5a9bcf,#c5a5c5,#5fb3b3,#d8dee9,#65737e,#d6838c,#c1dcbe,#ffde9b,#8abee7,#edcded,#9be2e2,#ffffff
Cobalt Next Dark	#0f1c23	#d8dee9	#282f36,#e6576a,#99c794,#fac863,#5a9bcf,#c5a5c5,#5fb3b3,#d8dee9,#65737e,#d6838c,#c1dcbe,#ffde9b,#8abee7,#edcded,#9be2e2,#ffffff
Cobalt Next Minimal	#0f1c23	#d8dee9	#343d46,#ed6f7d,#99c794,#fac863,#5a9bcf,#c5a5c5,#5fb3b3,#d8dee9,#65737e,#d6838c,#c1dcbe,#ffde9b,#8abee7,#edcded,#9be2e2,#ffffff
